step,t,delta_norm_mean,delta_norm_std,cos_prev_mean,cos_prev_std,vc_norm_mean,vu_norm_mean,subj,action,seed
0,0.0,0.25190550088882446,0.01486368291079998,nan,nan,222.78509521484375,222.84222412109375,S10,box,0
1,0.019999999552965164,0.26390156149864197,0.016271129250526428,0.7485833764076233,0.0293376874178648,223.189208984375,223.24331665039062,S10,box,0
2,0.03999999910593033,0.28470978140830994,0.022262362763285637,0.768445611000061,0.03090851940214634,223.55014038085938,223.6009521484375,S10,box,0
3,0.05999999865889549,0.30974286794662476,0.026660079136490822,0.7953313589096069,0.03032653033733368,223.84219360351562,223.8896026611328,S10,box,0
4,0.07999999821186066,0.3293446898460388,0.029889915138483047,0.8138813376426697,0.03275223448872566,224.1001434326172,224.14447021484375,S10,box,0
5,0.10000000149011612,0.3452962040901184,0.042942143976688385,0.8312095999717712,0.026141628623008728,224.3364715576172,224.37860107421875,S10,box,0
6,0.11999999731779099,0.3595072031021118,0.0634169951081276,0.845910906791687,0.03364219143986702,224.60401916503906,224.6448211669922,S10,box,0
7,0.14000000059604645,0.3595961034297943,0.06347319483757019,0.8514723181724548,0.035179976373910904,224.8720245361328,224.91293334960938,S10,box,0
8,0.1599999964237213,0.3554079234600067,0.06550233066082001,0.8474031686782837,0.041466906666755676,225.2034912109375,225.24679565429688,S10,box,0
9,0.18000000715255737,0.35441407561302185,0.06673397123813629,0.8506082892417908,0.043333303183317184,225.44961547851562,225.4946746826172,S10,box,0
10,0.20000000298023224,0.34790435433387756,0.06556006520986557,0.8478277921676636,0.04463298246264458,225.71730041503906,225.7659912109375,S10,box,0
11,0.2199999988079071,0.3457401990890503,0.05803876370191574,0.8505917191505432,0.038302745670080185,225.77313232421875,225.82467651367188,S10,box,0
12,0.23999999463558197,0.3488721251487732,0.05396346002817154,0.8621828556060791,0.03433013707399368,225.79225158691406,225.84613037109375,S10,box,0
13,0.25999999046325684,0.3559313118457794,0.05005592107772827,0.8723143339157104,0.02792193926870823,225.8320770263672,225.8873291015625,S10,box,0
14,0.2800000011920929,0.36244434118270874,0.048727553337812424,0.8795186281204224,0.02263038232922554,225.8290557861328,225.88539123535156,S10,box,0
15,0.30000001192092896,0.36809399724006653,0.05074683576822281,0.8850154876708984,0.022298075258731842,225.8144989013672,225.8714141845703,S10,box,0
16,0.3199999928474426,0.3699515461921692,0.04763192683458328,0.887683629989624,0.02072157897055149,225.75909423828125,225.81698608398438,S10,box,0
